route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
404,0000000022022091220230609,0003800492022091220230609,Mattarello Piazza Perini,0,D668_T0891_Andata_PRINCIPALE_ALTA_sub2,1
404,0000000022022091220230609,0003800502022091220230609,Mattarello Piazza Perini,0,D668_T0891_Andata_PRINCIPALE_ALTA_sub2,1
404,0000000022022091220230609,0003800512022091220230609,Mattarello Piazza Perini,0,D668_T0891_Andata_PRINCIPALE_ALTA_sub2,1
404,0000000022022091220230609,0003800522022091220230609,Mattarello Piazza Perini,0,D668_T0891_Andata_PRINCIPALE_ALTA_sub2,1
404,0000000092022091220230609,0003800532022091220230609,Mattarello Piazza Perini,0,D668_T0891_Andata_PRINCIPALE_ALTA_sub2,1
404,0000000252022091220230609,0003800542022091220230609,Mattarello Sud,0,D671_T0893_Andata_PRINCIPALE_BASSA_sub2,1
404,0000000022022091220230609,0003800552022091220230609,Mattarello Piazza Perini,0,D668_T0891_Andata_PRINCIPALE_ALTA_sub2,1
404,0000000092022091220230609,0003800562022091220230609,Mattarello Piazza Perini,0,D668_T0891_Andata_PRINCIPALE_ALTA_sub2,1
404,0000000252022091220230609,0003800572022091220230609,Mattarello Sud,0,D671_T0893_Andata_PRINCIPALE_BASSA_sub2,1
404,0000000022022091220230609,0003800582022091220230609,Mattarello Piazza Perini,0,D668_T0891_Andata_PRINCIPALE_ALTA_sub2,1
404,0000000022022091220230609,0003800592022091220230609,Guardini "Centochiavi",1,D670_T0892_Ritorno_PRINCIPALE_ALTA_sub1,1
404,0000000022022091220230609,0003800602022091220230609,Guardini "Centochiavi",1,D670_T0892_Ritorno_PRINCIPALE_ALTA_sub1,1
404,0000000022022091220230609,0003800612022091220230609,Guardini "Centochiavi",1,D670_T0892_Ritorno_PRINCIPALE_ALTA_sub1,1
404,0000000022022091220230609,0003800622022091220230609,Guardini "Centochiavi",1,D670_T0892_Ritorno_PRINCIPALE_ALTA_sub1,1
404,0000000022022091220230609,0003800632022091220230609,Guardini "Centochiavi",1,D670_T0892_Ritorno_PRINCIPALE_ALTA_sub1,1
404,0000000022022091220230609,0003800642022091220230609,Guardini "Centochiavi",1,D670_T0892_Ritorno_PRINCIPALE_ALTA_sub1,1
404,0000000092022091220230609,0003800652022091220230609,Guardini "Centochiavi",1,D670_T0892_Ritorno_PRINCIPALE_ALTA_sub1,1
404,0000000252022091220230609,0003800662022091220230609,Guardini "Centochiavi",1,D669_T0892a_Ritorno_PRINCIPALE_BASSA_sub2,1
404,0000000022022091220230609,0003800672022091220230609,Guardini "Centochiavi",1,D670_T0892_Ritorno_PRINCIPALE_ALTA_sub1,1
404,0000000092022091220230609,0003800682022091220230609,Guardini "Centochiavi",1,D670_T0892_Ritorno_PRINCIPALE_ALTA_sub1,1
404,0000000252022091220230609,0003800692022091220230609,Guardini "Centochiavi",1,D669_T0892a_Ritorno_PRINCIPALE_BASSA_sub2,1
404,0000000022022091220230609,0003800702022091220230609,Mattarello Piazza Perini,0,D668_T0891_Andata_PRINCIPALE_ALTA_sub2,1
404,0000000022022091220230609,0003800712022091220230609,Mattarello Piazza Perini,0,D668_T0891_Andata_PRINCIPALE_ALTA_sub2,1
404,0000000022022091220230609,0003800722022091220230609,Mattarello Piazza Perini,0,D668_T0891_Andata_PRINCIPALE_ALTA_sub2,1
404,0000000022022091220230609,0003800732022091220230609,Mattarello Piazza Perini,0,D668_T0891_Andata_PRINCIPALE_ALTA_sub2,1
404,0000000022022091220230609,0003800742022091220230609,Mattarello Piazza Perini,0,D668_T0891_Andata_PRINCIPALE_ALTA_sub2,1
