stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
2268,38571c,Pedersano Capolinea,,45.922625,11.020452,18511,2
2271,38581z,Pedersano Centro,,45.918006,11.019784,18511,2
2272,38581x,Pedersano Centro,,45.917890,11.019715,18511,2
2273,31111x,Piazza Filzi Via Del Porto,,45.884058,11.017994,10101,1
2274,34081z,Ravazzone,,45.860012,10.991222,14051,2
2275,32211z,Mori Stazione Via Stazione,,45.861992,11.000504,10101,2
2276,32211x,Mori Stazione Via Stazione,,45.861835,11.000756,10101,2
2277,33091x,Reviano,,45.891169,11.007339,13041,2
2278,33091z,Reviano,,45.891587,11.007135,13041,2
2281,31161x,S.Ilario Iti,,45.910932,11.042028,10101,2
2282,31161z,S.Ilario Iti,,45.909897,11.041742,10101,2
2283,31191x,S.Ilario Via Stroperi,,45.912442,11.043807,10101,1
2284,31191z,S.Ilario Via Stroperi,,45.912526,11.044025,10101,1
2285,38601z,Sp.20 S.Sisinio,,45.924877,11.021090,18511,2
2286,38611z,Sp.20 Zisi,,45.931009,11.022100,18511,2
2287,38611x,Sp.20 Zisi,,45.931416,11.022114,18511,2
2288,38601x,Sp.20 S.Sisinio,,45.924981,11.021091,18511,2
2289,32251x,Ss.240 "Millennium Sud",,45.868678,11.014117,10101,2
2291,32251z,Ss.240 "Millennium Sud",,45.868802,11.014168,10101,2
2292,34081x,Ravazzone,,45.858843,10.990639,14051,2
2293,32241z,Ss.240 "Millennium Nord",,45.870320,11.016767,10101,2
2294,32241x,Ss.240 "Millennium Nord",,45.870588,11.017356,10101,2
2295,32621x,Saltaria,,45.895428,11.067235,10101,2
2296,32621z,Saltaria,,45.895205,11.067406,10101,2
2297,34091c,Sano,,45.846341,10.951530,14051,
2298,35151z,Sasso,,45.904055,11.013669,15091,2
2299,35151x,Sasso,,45.904012,11.013552,15091,2
2300,32631-,Senter,,45.877509,11.089405,10101,
2301,34111x,Tierno Via Cooperazione,,45.846039,10.979226,14051,1
2302,34121x,Tierno Via Battisti,,45.847813,10.977933,14051,2
2303,34131x,Tierno Via Terra Nera,,45.847758,10.983714,14051,1
2304,32681x,Toldi,,45.897923,11.061751,10101,
2307,31341z,Via D.Chiesa,,45.886200,11.019382,10101,
2309,31391z,Via Della Libertà,,45.884868,11.017590,10101,
2310,31401z,Via Driopozzo Bivio Solatrix,,45.898720,11.044441,10121,2
2311,31411x,Via Fedrigotti Chiesa,,45.884259,11.020419,10101,2
2312,32701x,Noriglio Via Fontani,,45.884341,11.068684,10101,2
2318,31451x,Via Lagarina,,45.910398,11.039907,10101,
2319,31481x,Via Magazol Viale Trento,,45.898989,11.042022,10121,1
2321,31451z,Via Lagarina,,45.910879,11.039809,10101,
2322,31601z,Via Puccini Via Donizetti,,45.901706,11.046259,10121,1
2323,31611z,Via Puccini Via Perosi,,45.904525,11.044653,10121,1
2325,32721x,Noriglio Via Valteri,,45.886141,11.065258,10101,2
2329,31701x,Via Vicenza Via Asiago,,45.885561,11.059523,10101,2
2330,32331z,Viale Caproni "Chizzola",,45.868365,11.022468,10101,2
2331,32361z,Viale Del Lavoro "Aticarta",,45.866295,11.023866,10101,2
2332,32371z,Viale Dell'industria,,45.871749,11.020844,10101,
2333,18041,Villa Lagarina Via Magrè,,45.917709,11.033241,18041,1
2334,38041x,Villa Lagarina Via Magrè,,45.917520,11.033500,18041,1
2335,38021z,Villa Lagarina V.Segantini,,45.916175,11.034148,18041,2
2336,38021x,Villa Lagarina V.Segantini,,45.916240,11.034111,18041,1
2337,39041z,Volano Ss.12,,45.917872,11.064022,19011,2
2338,39041x,Volano Ss.12,,45.917904,11.063864,19011,2
2339,19011,Volano Via Roma,,45.917155,11.069925,19011,1
2340,39021x,Volano Des Tor,,45.917486,11.057510,19011,2
2341,39031z,Volano Via Europa,,45.916495,11.057175,19011,2
2342,32771x,Zaffoni,,45.891311,11.065551,10101,2
2343,32771z,Zaffoni,,45.891281,11.065712,10101,2
2354,31581z,Via All'adige,,45.888337,11.019065,10101,
2355,37061z,Pomarolo Via Rossaro,,45.925820,11.047488,17031,2
2356,37051x,Pomarolo Via Del Pionte,,45.925107,11.048119,17031,2
2359,35031x,Molini,,45.913940,11.021209,15091,2
2360,38541c,Lago di Cei Bellaria,,45.957515,11.032163,18511,2
2361,38531x,Lago di Cei,,45.951091,11.023204,18511,2
2362,38551x,Lago di Cei Albergo,,45.948219,11.015833,18511,2
2363,38591x,Sp.20 Maso Tiaf,,45.936511,11.008595,18511,2
2364,38621x,Sp.20 Bivio Per Bordala,,45.930910,11.007170,18511,2
2365,38511x,Castellano Centro,,45.923278,11.007615,18511,2
2367,38621z,Sp.20 Bivio Per Bordala,,45.930864,11.007231,18511,2
2368,38591z,Sp.20 Maso Tiaf,,45.935890,11.008592,18511,2
2369,38561z,Lago di Cei Capitello,,45.947490,11.014816,18511,2
2370,38531z,Lago di Cei,,45.951043,11.023396,18511,2
2372,35031z,Molini,,45.914137,11.021268,15091,2
2377,23050x,Sp 76 Bivio S.Lazzaro,,46.129007,11.115496,10110,2
2380,21720z,Trener "3 Torri Pat",,46.095023,11.116755,10110,2
2383,21400c,Guardini "Centochiavi",,46.092562,11.118577,10110,1
2384,21805e,Zambra "Top Center",,46.091124,11.117963,10110,2
2385,21800e,Zambra "Ist. D'arte Vittoria",,46.092508,11.116288,10110,2
2386,23010x,Meano "Centro Civico",,46.127449,11.116516,10110,1
2389,21215x,Centochiavi Lunelli,,46.092618,11.120546,10110,1
2391,31621-,Via Rovigo,,45.880486,11.038138,10121,
2394,31121-,Piazza Guella,,45.867441,11.031930,10121,
2395,31091-,Largo S.Floriano,,45.866422,11.032695,10121,
2397,31291-,Via Cornacalda,,45.866722,11.034906,10121,
2398,31381-,Via Della Cisterna,,45.867981,11.034818,10121,
2404,27205x,Romagnano 7 Fontane,,46.014314,11.104348,10110,2
2405,21715z,Travai Piazza Fiera,,46.064779,11.122235,10110,2
2406,21340x,Ghiaie "Giardinerie",,46.052906,11.117026,10110,1
2407,21345x,Ghiaie Monte Baldo,,46.056336,11.116199,10110,2
2408,21020-,Parcheggio Zuffo,,46.075042,11.109710,11015,
2409,20105-,Cavalcavia S.Lorenzo,,46.070353,11.119104,10110,
2410,21015-,Parcheggio Monte Baldo,,46.057138,11.113784,11015,
2412,21565x,Piazzale A22,,46.077383,11.111233,10110,
2418,22710z,Ss 12 "Pioppeto",,46.108623,11.108714,10110,1
2419,22730z,Ss 12 S.Anna,,46.112409,11.107435,10110,2
2421,31231x,Via A Prato,,45.893566,11.030776,10121,
2422,22507z,Roncafort "Asilo",,46.100827,11.101807,10110,1
2423,22315e,Maso Rossi Aichner,,46.105166,11.100782,10110,2
2424,21600x,S.Lorenzo "Funivia",,46.070046,11.116680,10110,2
2426,21600z,S.Lorenzo "Funivia",,46.070304,11.117239,10110,1
2430,21630x,Sanseverino Monte Baldo,,46.057694,11.112576,11015,2
2431,21620x,Sanseverino "Albere"/Muse,,46.063335,11.113224,10110,1
2432,21640x,Sanseverino Verdi,,46.065847,11.114262,10110,1
2435,21170z,Brescia "Ca Dei Gai",,46.073516,11.105351,10110,2
2437,27030-,Ravina Della Croce,,46.040974,11.110972,10110,1
2438,22725z,Ss 12 Talvera,,46.103288,11.110542,10110,1
2446,22650z,Ghiaie "Zona Ind.Le Ftm",,46.119114,11.105298,10110,2
2447,22655z,Ghiaie Salisburgo,,46.122767,11.103333,10110,2
2448,22660z,Ghiaie "Sc. Materna",,46.124931,11.099733,10110,2
2449,22607x,Spini Praga,,46.123637,11.097414,10110,2
2453,22680x,Palazzine Maso S.Antonio,loc. Palazzine 117,46.115041,11.101841,10110,2
2454,22690x,Crosare Officina,via Crosare 64,46.110069,11.105482,10110,2
2455,22695x,Crosare Parcheggio,,46.107992,11.105390,10110,2
2457,22805z,Gardolo Castel di Gardolo,,46.113908,11.110611,10110,2
2458,22805x,Gardolo Castel di Gardolo,,46.113885,11.111221,10110,2
2470,21265x,Jedin Sanseverino,,46.051140,11.114412,10110,2
2472,22215z,Lamar "Via Rossa",,46.121491,11.106409,10110,2
2474,32711z,Via Vallunga Bivio M. Pipel,,45.895243,11.052058,10101,2
2475,32581z,Maso Valduga,,45.899926,11.054671,10101,2
2476,32521c,Bosco Della Citta',,45.901614,11.055392,10101,
2477,32581x,Maso Valduga,,45.899768,11.054285,10101,2
2478,32711x,Via Vallunga Bivio M. Pipel,,45.895243,11.051971,10101,2
2481,32761z,Viale Dei Colli Via Vallunga,,45.891091,11.049781,10101,2
2482,32761x,Viale Dei Colli Via Vallunga,,45.891342,11.049816,10101,2
2483,28040z,Sopramonte "Campra",,46.078492,11.058287,10110,1
2484,28040x,Sopramonte "Campra",,46.078730,11.058128,10110,1
2485,21170x,Brescia "Ca Dei Gai",,46.073335,11.105636,10110,2
2488,21570x,Pranzelores "Top Center",,46.089854,11.118521,10110,1
2489,21575x,Pranzelores "Tridente",,46.086558,11.120060,10110,1
2490,25025z,Povo Pantè,,46.064013,11.150936,10110,2
2491,22520x,Roncafort Caproni,,46.100115,11.099704,10110,1
2492,22510x,Roncafort Bettine,,46.097545,11.102217,10110,1
2494,31081x,Corso Verona Via Cainelli,,45.877270,11.035961,10121,2
2497,27005z,Ponte di Ravina,,46.045489,11.113298,10110,
2498,27005x,Ponte di Ravina,,46.045521,11.113600,10110,
2499,25605x,Villazzano "Chiesa",,46.049488,11.143839,10110,1
2500,21685z,Ss 45 "Scala",,46.077367,11.099788,10110,2
2501,28010z,Sopramonte "M.Petoci",,46.066954,11.059506,10110,2
2502,23405z,Vigo Meano Don Perugini,,46.132987,11.133917,10110,2
2504,34046x,Mori Via Del Garda,,45.851519,10.972510,14051,2
2505,24005z,Cognola "Chiesa",,46.076326,11.141352,10110,1
2506,21507-,Muralta Valsugana,,46.076656,11.130373,10110,2
